state	year	name	type	city	county	district	enroll	mmr	overall	xrel	xmed	xper
Illinois	2018-19	Burnham Elementary Inclusive Academy	NA	Chicago	Cook	NA	528	95.45454545	-1	NA	0.95	NA
Illinois	2018-19	Christian Fellowship Church Sch	NA	Du Quoin	Perry	NA	66	95.45454545	-1	NA	NA	NA
Illinois	2018-19	Greenbrook Montessori	NA	Hanover Park	Kane	NA	66	95.45454545	-1	NA	NA	NA
Illinois	2018-19	Holy Family Parish	NA	Peoria	Peoria	NA	176	95.45454545	-1	NA	NA	NA
Illinois	2018-19	Mid-America Preparatory	NA	Herrick	Shelby	NA	66	95.45454545	-1	NA	NA	NA
Illinois	2018-19	Nauvoo Elementary	NA	Nauvoo	Hancock	NA	241	95.43568465	-1	NA	0.41	NA
Illinois	2018-19	Parsons Accelerated	NA	Decatur	Macon	NA	306	95.4248366	-1	NA	NA	NA
Illinois	2018-19	Beaubien Elementary	NA	Chicago	Cook	NA	1049	95.42421354	-1	NA	0.38	NA
Illinois	2018-19	Western Avenue Elementary	NA	Geneva	Kane	NA	349	95.41547278	-1	NA	0.57	NA
Illinois	2018-19	Bell-Graham Elementary	NA	Saint Charles	Kane	NA	436	95.41284404	-1	NA	0.69	NA
Illinois	2018-19	Bluffs Elementary	NA	Bluffs	Scott	NA	109	95.41284404	-1	NA	NA	NA
Illinois	2018-19	Logan Elementary	NA	Moline	Rock Island	NA	327	95.41284404	-1	NA	0.31	NA
Illinois	2018-19	Central Elementary	NA	Pontiac	Livingston	NA	348	95.40229885	-1	NA	NA	NA
Illinois	2018-19	H C Storm Elementary	NA	Batavia	Kane	NA	391	95.39641944	-1	NA	0.26	NA
Illinois	2018-19	Willows Academy	NA	Des Plaines	Cook	NA	217	95.39170507	-1	NA	0.92	NA
Illinois	2018-19	North Elementary	NA	Villa Park	Dupage	NA	389	95.37275064	-1	NA	0.26	NA
Illinois	2018-19	Parrish Elementary	NA	Carbondale	Jackson	NA	475	95.36842105	-1	NA	0.21	NA
Illinois	2018-19	Davis N Elementary	NA	Chicago	Cook	NA	733	95.36152797	-1	NA	0.27	NA
Illinois	2018-19	St Andrews Lutheran	NA	Park Ridge	Cook	NA	194	95.36082474	-1	NA	NA	NA
Illinois	2018-19	Holy Trinity	NA	Westmont	Dupage	NA	172	95.34883721	-1	NA	NA	NA
Illinois	2018-19	Josephinum Academy	NA	Chicago	Cook	NA	172	95.34883721	-1	NA	NA	NA
Illinois	2018-19	Scales Mound Elementary	NA	Scales Mound	Jo Daviess	NA	129	95.34883721	-1	NA	0.78	NA
Illinois	2018-19	St Philip the Apostle	NA	Addison	Dupage	NA	86	95.34883721	-1	NA	NA	NA
Illinois	2018-19	Washington	NA	Belleville	Saint Clair	NA	172	95.34883721	-1	NA	NA	NA
Illinois	2018-19	Skinner Elementary	NA	Chicago	Cook	NA	1223	95.33932952	-1	NA	0.16	NA
Illinois	2018-19	Melody Elementary	NA	Chicago	Cook	NA	429	95.33799534	-1	NA	NA	NA
Illinois	2018-19	Astoria Elementary	NA	Astoria	Fulton	NA	150	95.33333333	-1	NA	NA	NA
Illinois	2018-19	Kozminski Elementary Community Academy	NA	Chicago	Cook	NA	257	95.3307393	-1	NA	0.78	NA
Illinois	2018-19	Westhaven Elementary	NA	Belleville	Saint Clair	NA	471	95.32908705	-1	NA	NA	NA
Illinois	2018-19	Rockford Christian Schools	NA	Rockford	Winnebago	NA	1003	95.31405783	-1	NA	0.1	NA
Illinois	2018-19	Steuben Elementary	NA	Kankakee	Kankakee	NA	213	95.30516432	-1	NA	NA	NA
Illinois	2018-19	Bonfield Grade	NA	Bonfield	Kankakee	NA	234	95.2991453	-1	NA	NA	NA
Illinois	2018-19	Timothy Christian Elementary  Midd Sch	NA	Elmhurst	Dupage	NA	723	95.29737206	-1	NA	0.14	NA
Illinois	2018-19	Gurnee Christian	NA	Gurnee	Lake	NA	85	95.29411765	-1	NA	1.18	NA
Illinois	2018-19	Seton Little Peoples Montessori	NA	Clarendon Hills	Dupage	NA	170	95.29411765	-1	NA	NA	NA
Illinois	2018-19	Brickton Montessori	NA	Chicago	Cook	NA	106	95.28301887	-1	NA	NA	NA
Illinois	2018-19	Husmann Elementary	NA	Crystal Lake	McHenry	NA	466	95.27896996	-1	NA	NA	NA
Illinois	2018-19	Tremont Elementary	NA	Tremont	Tazewell	NA	360	95.27777778	-1	NA	0.28	NA
Illinois	2018-19	Deneen Elementary	NA	Chicago	Cook	NA	508	95.27559055	-1	NA	0.59	NA
Illinois	2018-19	Field Stevenson Elementary	NA	Forest Park	Cook	NA	148	95.27027027	-1	NA	NA	NA
Illinois	2018-19	Ellsworth Elementary	NA	Naperville	Dupage	NA	252	95.23809524	-1	NA	NA	NA
Illinois	2018-19	Glenview Montessori	NA	Northfield	Cook	NA	63	95.23809524	-1	NA	NA	NA
Illinois	2018-19	Holy Cross	NA	Champaign	Champaign	NA	252	95.23809524	-1	NA	NA	NA
Illinois	2018-19	Steele	NA	Galesburg	Knox	NA	377	95.22546419	-1	NA	0.27	NA
Illinois	2018-19	St Gall	NA	Chicago	Cook	NA	230	95.2173913	-1	NA	NA	NA
Illinois	2018-19	Ogden Elementary	NA	Chicago	Cook	NA	1336	95.20958084	-1	NA	0.07	NA
Illinois	2018-19	Thomas Early Childhood Center	NA	Chicago	Cook	NA	167	95.20958084	-1	NA	0.6	NA
Illinois	2018-19	Bannockburn	NA	Bannockburn	Lake	NA	146	95.20547945	-1	NA	0.68	NA
Illinois	2018-19	Kellogg Elementary	NA	Chicago	Cook	NA	271	95.20295203	-1	NA	0.74	NA
Illinois	2018-19	Parkwood Elementary	NA	Hanover Park	Kane	NA	375	95.2	-1	NA	NA	NA
Illinois	2018-19	CCSD 93 Early Childhood Cntr	NA	Bloomingdale	Dupage	NA	229	95.19650655	-1	NA	NA	NA
Illinois	2018-19	Lindsay	NA	Springfield	Sangamon	NA	458	95.19650655	-1	NA	NA	NA
Illinois	2018-19	Sowers Elementary	NA	Roanoke	Woodford	NA	187	95.18716578	-1	NA	NA	NA
Illinois	2018-19	Medinah Primary	NA	Medinah	Dupage	NA	249	95.18072289	-1	NA	NA	NA
Illinois	2018-19	St Mary	NA	Woodstock	McHenry	NA	228	95.1754386	-1	NA	NA	NA
Illinois	2018-19	Channing Memorial Elementary	NA	Elgin	Kane	NA	434	95.16129032	-1	NA	NA	NA
Illinois	2018-19	Mark DeLay	NA	Darien	Dupage	NA	496	95.16129032	-1	NA	0.2	NA
Illinois	2018-19	St Joseph	NA	Manhattan	Will	NA	124	95.16129032	-1	NA	NA	NA
Illinois	2018-19	St Lukes Christian Academy	NA	Montgomery	Kendall	NA	62	95.16129032	-1	NA	1.61	NA
Illinois	2018-19	St Procopius Elementary	NA	Chicago	Cook	NA	247	95.1417004	-1	NA	NA	NA
Illinois	2018-19	Virginia Lake Elementary	NA	Palatine	Cook	NA	740	95.13513514	-1	NA	NA	NA
Illinois	2018-19	Thorp  J N Elementary	NA	Chicago	Cook	NA	308	95.12987013	-1	NA	NA	NA
Illinois	2018-19	Christian S.T.E.M. Scholars Acad	NA	Chicago	Cook	NA	41	95.12195122	-1	NA	NA	NA
Illinois	2018-19	Durkin Park Elementary	NA	Chicago	Cook	NA	676	95.1183432	-1	NA	2.07	NA
Illinois	2018-19	Hughes  C Elementary	NA	Chicago	Cook	NA	266	95.11278195	-1	NA	0.38	NA
Illinois	2018-19	Chicago Hope Academy	NA	Chicago	Cook	NA	245	95.10204082	-1	NA	NA	NA
Illinois	2018-19	Wyvetter Younge Altrntv Cntr	NA	East Saint Louis	Saint Clair	NA	163	95.09202454	-1	NA	NA	NA
Illinois	2018-19	Elizabeth Graham Elementary	NA	Springfield	Sangamon	NA	224	95.08928571	-1	NA	NA	NA
Illinois	2018-19	Calvary Academy	NA	Springfield	Sangamon	NA	304	95.06578947	-1	NA	NA	NA
Illinois	2018-19	Bridgescape Academy North Lawndal	NA	Chicago	Cook	NA	81	95.0617284	-1	NA	1.23	NA
Illinois	2018-19	Good Shepherd Lutheran Sch	NA	Downers Grove	Dupage	NA	81	95.0617284	-1	NA	NA	NA
Illinois	2018-19	Ridgely Elementary	NA	Springfield	Sangamon	NA	324	95.0617284	-1	NA	NA	NA
Illinois	2018-19	Evelyn Alexander	NA	North Chicago	Lake	NA	344	95.05813953	-1	NA	NA	NA
Illinois	2018-19	Westlake Christian Academy	NA	Grayslake	Lake	NA	182	95.05494505	-1	NA	0.55	NA
Illinois	2018-19	St Philomena	NA	Peoria	Peoria	NA	465	95.05376344	-1	NA	NA	NA
Illinois	2018-19	Bruning Elementary	NA	Wilmington	Will	NA	222	95.04504505	-1	NA	0.45	NA
Illinois	2018-19	Academy of St Benedict	NA	Chicago	Cook	NA	241	95.02074689	-1	NA	0.83	NA
Illinois	2018-19	Carlinville Primary	NA	Carlinville	Macoupin	NA	361	95.01385042	-1	NA	0.55	NA
Illinois	2018-19	Early Explorations Too!	NA	NA	NA	NA	20	95	-1	NA	NA	NA
